name,iso3c,region_sdg,region_geo,grp_income,grp_develop,pop,births,tfr,sex_ratio,deaths,e0,imr,net
Colombia,COL,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,52321152,705009,1.645,104.5,282433,77.725,9.835,154521
Ecuador,ECU,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,17980083,270300,1.823,104.7,92204,77.392,9.649,-21948
Falkland Islands (Malvinas),FLK,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,3477,39,1.685,103,27,79.213,9.169,-21
French Guiana,GUF,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,303402,7707,3.388,103.6,1502,76.978,8.919,-1091
Guyana,GUY,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,826353,16764,2.412,103.7,6049,70.18,21.338,-6161
Paraguay,PRY,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,6844146,136778,2.422,105,39034,73.844,13.976,-12500
Peru,PER,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,33845617,539623,1.98,104.1,185861,77.74,11.689,24783
Suriname,SUR,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,628886,10879,2.249,104,4182,73.631,14.105,-988
Uruguay,URY,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,3388081,33443,1.409,105.5,33145,78.138,5.599,-1501
Venezuela (Bolivarian Republic of),VEN,Latin America and the Caribbean,Latin America and the Caribbean,lower-middle,less,28300854,426984,2.079,105.3,213955,72.514,15.71,-112899
Bermuda,BMU,Europe and Northern America,Northern America,upper,more,64697.99999999999,521,1.401,104,573,82.309,1.981,0
Canada,CAN,Europe and Northern America,Northern America,upper,more,39299105,356745,1.349,105.5,311824,82.63,4.264,433842
Greenland,GRL,Europe and Northern America,Northern America,upper,more,55922,789,1.95,105,551,70.055,9.894,-318
